Photo,Name,Links,Location,Season,Type,Management,Fee,Amenities,Features,Surface,Trail,Sports,Favorite,Difficulty,Motorized,Notes,Class3,Source,Status,TrailT
,Indian Bar Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,Amenities: Camping Area,,Paved,"Trail Length: 7.7 mi;  Top Elevation: 5914 ft; Trail Surface: Paved",Summer Sports: Hiking,,,No motorized use,"This is a unique section of the Wonderland Trail along miles of ridge, through subalpine meadows, with views of the southeast side of Mount Rainier. It ends in a broad green valley into which pour a dozen waterfalls.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/burroughs-mountain.htm target=""_blank"">Burroughs Mtn Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 2.4 mi; Elevation Gain: 900 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"The mountain views from any point on this trail are superb and Burroughs Mountain offers possibly the finest, most assessable tundra in the Cascades.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/index.htm target=""_blank"">Chenuis Falls Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,"Features: River Access, Waterfall",Natural/Soft Surface,"Trail Length: 0.2 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short trail to the Chenuis Falls crosses the Carbon River on foot logs.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,Chinook Pass to Tipsoo Lake Trail,,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 0.2 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This trail is part of the Naches Peak Loop Trail - one of the most popular trails in the park.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/comet-falls.htm target=""_blank"">Comet Falls-Van Trump Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,"Features: Scenic View, Waterfall",Natural/Soft Surface,"Trail Length: 2.8 mi; Elevation Gain: 900 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Three hundred-twenty foot Comet Falls is a popular destination for many hikers. Look for marmots, pikas, and goats on rocky open slopes. From the falls, you can continue to Van Trump Park for spectacular views of peaks and glaciers.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/crystal-lakes.htm target=""_blank"">Crystal Lakes Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 3 mi; Elevation Gain: 2300 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,By late July and early August the meadows explode with a wide variety of colorful subalpine wildflowers. Watch for elk and mountain goats grazing on the surrounding slopes and ridges anytime throughout the summer and early fall.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/paradise.htm target=""_blank"">Deadhorse Creek Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Paved,"Trail Length: 1.1 mi; Trail Surface: Paved",Summer Sports: Hiking,,,No motorized use,This trail through the Paradise Meadows provides glacier views.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/trails-and-backcountry-camp-conditions.htm target=""_blank"">Denman Falls Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Waterfall,Natural/Soft Surface,"Trail Length: 0.3 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,Take this short loop trail for a look at Denman Falls.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/upload/eastside-trail-oct11.pdf target=""_blank"">Eastside Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Waterfall,Natural/Soft Surface,"Trail Length: 10.1 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail connects the subalpine highlands of Chinook Pass with the deep, lowland forests of the Ohanapocosh area. Hikers can walk the entire route or access shorter sections for a day hike.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/upload/sunrise-area-trails-aug11-2.pdf target=""_blank"">Emmons Moraine Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 3 mi; Elevation Gain: 700 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This moderate trail follows the Glacier Basin trail for one mile and then goes left along the moraine.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/upload/shriner-peak-trail-sep11.pdf target=""_blank"">Shriner Peak Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Scenic View,Natural/Soft Surface,"Trail Length: 4 mi; Elevation Gain: 3434 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Although this trail begins in the forest, it soon climbs into an old burn area that is open and shadeless.  Once on top of the ridge, hikers enjoy commanding views of Mount Rainier, the Ohanapecosh Valley and the Cascades.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/skyline-trail.htm target=""_blank"">Golden Gate Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 0.9 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This short trail through Paradise Park begins and ends at the Skyline Trail, cutting off a loop of the longer trail.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/green-lake.htm target=""_blank"">Green Lake Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,"Features: Lake Access, Waterfall",Natural/Soft Surface,"Trail Length: 5.4 mi; Elevation Gain: 1000 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail passes through old growth forest to reach Green Lake. Along the trail, view Ranger Falls. Because of flood damage to the road, the trail begins at the Carbon River Entrance. Bikes are permitted on the part of the trail that follows the road.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/palisades-lake.htm target=""_blank"">Hidden Lake Spur</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Lake Access,Natural/Soft Surface,"Trail Length: 0.5 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short spur trail off the Palisades Lake Trail goes along the shore of Hidden Lake.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/paradise.htm target=""_blank"">Skyline Trail to Myrtle Falls</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Accessible Facilities,Natural/Soft Surface,"Trail Length: 1 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This trail through the Paradise Meadows is wheelchair accessible with assistance.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.wta.org/go-hiking/hikes/huckleberry-creek target=""_blank"">Huckleberry Creek Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,Amenities: Camping Area,"Features: Lake Access, River Access",Natural/Soft Surface,"Trail Length: 7.7 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This lesser known trail starts in the Mount Baker-Snoqualmie National Forest and then enters the northeast corner of the park, is snow-free early in the season and goes through some amazing old growth.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/indian-henrys-kautz.htm target=""_blank"">Indian Henry's Hunting Ground via Kautz Creek Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 5.7 mi; Elevation Gain: 3000 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Boulder fields and large standing dead trees are remnants of the Kautz Creek flood of 1947. Indian Henry's, meadows are in full bloom from mid -July through August and fall colors are impressive from mid-September into October.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/carbon-glacier.htm target=""_blank"">Carbon Glacier Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 17 mi; Elevation Gain: 1640 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail overlaps with the Green Lake and Wonderland Trails. It is open to bicycles until Ipsut Campground (the old Carbon River Road.) Past the road, the trail follows the Carbon River through the forest to the snout of the glacier.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/index.htm target=""_blank"">Lake Eleanor Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,Amenities: Camping Area,Features: Lake Access,Natural/Soft Surface,"Trail Length: 3.3 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This trail is a spur off the Northern Loop Trail. It goes through the Grand Park Area to Lake Eleanor.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/the-wonderland-trail.htm target=""_blank"">Mirror Lakes Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Lake Access,Natural/Soft Surface,"Trail Length: 0.6 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short spur trail leads from the Wonderland Trail to Mirror Lakes.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/paradise.htm target=""_blank"">Moraine Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 0.4 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short spur takes off from the DeadhorseCreek Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/mount-fremont-lookout.htm target=""_blank"">Mount Freemont Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,"Features: Historic Site, Scenic View",Natural/Soft Surface,"Trail Length: 1.3 mi; Elevation Gain: 900 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail, which is accessed from the Sourdough Ridge trail,  traverses the west side of a rocky ridge to a fire lookout built in the 1930s.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/natches-peak-loop.htm target=""_blank"">Naches Loop Trail</a>",,Mount Rainier National Park,,Loop,"Owner: National Park Service & USFS; Manager: NPS & USFS",Free - No fee or pass,,"Features: Lake Access, Scenic View",Natural/Soft Surface,"Trail Length: 3.5 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This easy loop is one of the most popular hikes in the park with fields of subalpine flowers  and breathtaking views of Mount Rainier. Late summer and fall brings an abundant supply of huckleberries. Half of the hike is on the Pacific Crest Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Loop
,"<a href=http://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm target=""_blank"">Nisqually Vista Trail</a>",,Mount Rainier National Park,Season: Year round (Open),Official Trail,Owner: NPS,Pass: National Park Pass,,,Paved,"Trail Length: 1.2 mi; Trail Surface: Paved","Summer Sports: Hiking; Winter Sports: Snowshoeing",,,No motorized use,"Walk amidst the clouds through high-country meadows on this easy trail. Enjoy excellent views of Mount Rainier and the Nisqually Glacier. In the winter, this route makes a good snowshoe trek.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/sunrise.htm target=""_blank"">North Burroughs Mtn Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 0.8 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This short trail connects the Wonderland Trail and the Burroughs Mountain Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/the-wonderland-trail.htm target=""_blank"">North Puyallup Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 2.7 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This trail along the Puyallup River provides access to the Wonderland Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/northern-loop.htm target=""_blank"">Northern Loop Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 40 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This long loop hike passes through the most pristine wilderness of the park including a cliff of colorful rocks, numerous mountain lakes, and views of Mount Rainier and its glaciers. The southern part of the loop uses the Wonderland Trail.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/owyhigh-lakes.htm target=""_blank"">Owyhigh Lakes Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,Amenities: Camping Area,,Natural/Soft Surface,"Trail Length: 3.5 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This hike offer an array of secluded mountain lakes and meadows aglow with wildflowers in mid-summer. The jagged cliffs of Governors Ridge rise high above the lakes to the east while Tamanos Mountain lies directly west.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/palisades-lake.htm target=""_blank"">Palisades Lake Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,Amenities: Camping Area,,Natural/Soft Surface,"Trail Length: 3.6 mi; Elevation Gain: 1800 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Although there are no views of Mount Rainier from this trail, hikers can easily spend all day enjoying the array of lakes, wildflowers, or huckleberries in season. Look for pikas and marmots in the talus slopes.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.wta.org/go-hiking/hikes/paul-peak target=""_blank"">Paul Peak Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 2.9 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This often overlooked trail winds through a mixed old-growth forest and crosses Wonderland Creek before joining the Wonderland Trail.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/carbon-and-mowich.htm target=""_blank"">Rainforest Loop</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 0.3 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Starting across from the Carbon River Entrance Station, this short loop trail takes visitors through a fine example of a temperate rain forest.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm target=""_blank"">Rampart Ridge Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,Pass: National Park Pass,,,Natural/Soft Surface,"Trail Length: 4.6 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This steep loop trail passes through forests and offers ridge top vistas. Trail is accessed from the Trailof the Shadows.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/sunrise.htm target=""_blank"">Silver Forest Trail and Emmons Vista Overlook</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Scenic View,Natural/Soft Surface,"Trail Length: 1 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"This trail passes the Emmons Vista Overlook with its spectacular views and then goes through an old burned area. The ""silvery"" color of the charred trees bleached white by the weather give the area its name.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/skyline-trail.htm target=""_blank"">Skyline Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 5.5 mi; Elevation Gain: 1700 ft; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"The trail offers stunning displays of subalpine wildflowers, a close-up look at Mount Rainier and the Nisqually Glacier, and, on a clear day, views of peaks as far south as Oregon's Mount Hood.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/day-hiking-at-mount-rainier.htm target=""_blank"">Sourdough Ridge Trail and Dege Peak</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,Features: Scenic View,Natural/Soft Surface,"Trail Length: 3.4 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Enjoy the beautiful subalpine meadows of the Sunrise area. A gentle climb to the ridge top offers breathtaking views of Mount Rainier, with Mount Baker, Glacier Peak, and Mount Adams in the distance. Stay on trail to protect fragile plants.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/planyourvisit/spray-park.htm target=""_blank"">Spray-Seattle Park Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,"Features: Scenic View, Waterfall",Natural/Soft Surface,"Trail Length: 7 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,"Open forest predominates for most of this hike. Sites include Eagle's Cliff overlook, which offers a spectacular view of Mount Rainier and the Mowich Glacier, and a spur trail that leads to a good view of Spray Falls.",Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
,"<a href=http://www.nps.gov/mora/index.htm target=""_blank"">St Andrews Creek Trail</a>",,Mount Rainier National Park,,Official Trail,Owner: NPS,,,,Natural/Soft Surface,"Trail Length: 2.3 mi; Trail Surface: Natural/Soft Surface",Summer Sports: Hiking,,,No motorized use,This trail goes from St Andrews Creek over the Klapatche Ridge to join the Wonderland Trail and Klapatche Park.,Federal,"Location contributed by <a href=http://www.nps.gov/mora/ target=""_blank"">Mt. Rainier National Park</a>",Open,Trail
