Photo,Name,Name_,Links,Location,Contact,Hours,Season,Days_Open,Subtype,Category,Type,Management,Fee,Amenities,Features,Facilities,Details,Sports,Notes,Source,Status,Latitude,Longitude,MapCat
,"<a href=http://www.ellensburgmovies.com/ target=""_blank"">Grand Meridian Cinema</a>",Grand Meridian Cinema,,"504 E Mountain View Ave, Ellensburg",Phone: 509-962-1992,,Season: Year round (Open),,"Performance, Event & Sports Spaces",Movie Theater,Indoor Cinema,Owner: Private,Fee:,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.983461,-120.541217,Performance or Event Space
,"<a href=http://www.co.kittitas.wa.us/solidwaste/ts.asp target=""_blank"">Solid Waste Transfer Station</a>",Solid Waste Transfer Station,,"1001 Industrial Way, Ellensburg",,,,,Community Services,Waste Management & Remediation,Waste Treatment & Disposal,Owner: Kittitas County,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.982862,-120.550560,Other
,"<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=170 target=""_blank"">City of Ellensburg Animal Shelter</a>",City of Ellensburg Animal Shelter,,"1007 Industrial Way, Ellensburg",Phone: 509-962-7246,"Hours: Mon 12-5, Tu-Fri 11-5, Sat 12-4:30",,Days Open: Mon Tue Wed Thu Fri Sat,Community Services,Social Services,Animal Shelter,Owner: Ellensburg,,,,,,,,"Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.982317,-120.548453,Other
"<img src='http://www.manastashmapping.com/Photos/Kittitas/Cadwell.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.kchm.org/ target=""_blank"">Kittitas County Historical Museum</a>",Kittitas County Historical Museum,"Links: <a href=http://www.ellensburg.com/dontmiss_kcmuseum.php target=""_blank"">Article</a>","114 E 3rd Ave, Ellensburg",Phone: (509) 925-3778,Hours: M-S 10am-4pm,,Days Open: Mon Tue Wed Thu Fri Sat,Attraction,Museum,History Museum,Owner: Non-Profit,Free - No fee or pass,,,,,,"A variety of displays and interesting heritage about local farming, Native Americans, local pioneers, technology and agricultural all within the historic Cadwell building.","Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.994297,-120.546285,Museum
,"<a href=http://www.cwu.edu/central-minute-cwus-japanese-garden-symbol-life target=""_blank"">Japanese Garden</a>",Japanese Garden,,Kittitas County,,,,,Attraction,Gardens,Theme Garden,Owner: CWU,,,,,,,This special place has become a favorite refuge for students to relax and grab a moment away from hectic college life.,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.002735,-120.539761,Garden
,"<a href=http://www.cwu.edu/museum/ target=""_blank"">Museum of Culture & the Environment</a>",Museum of Culture & the Environment,,"1200 N. D St., Ellensburg",Phone: (509) 963-2313,"Hours: Wed-Fri 11-4, Saturday 10-3",,Days Open: Wed Thu Fri Sat,Attraction,Museum,History Museum,Owner: CWU,Free - No fee or pass,,,,,,"Located in Dean Hall on the CWU campus, the Museum of Culture & the Environment approaches our diverse & changing world with an interdisciplinary perspective, examining human life, culture & our interaction with our enviornment.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.003998,-120.541757,Museum
"<img src='https://www.co.kittitas.wa.us/images/kvec/fv-building.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.co.kittitas.wa.us/kvec/facility.aspx?facility=19 target=""_blank"">Frontier Village</a>",Frontier Village,,"Kittitas County Fairgrounds 5th & Poplar St, Ellensburg",Phone: (800) 426-5340,,,Days Open: By appointment,Attraction,Museum,History Interpretive Center,Owner: Kittitas County,Free - No fee or pass,,"Features: Historic Site, Interpretive Signs",,,,"Located at the Kittitas County Fairgrounds, this village is a showcase for original cabins and buildings from the valley's past. It is open during the Kittitas County Fair and by appointment (509-962-7639).","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.997893,-120.532725,Interpretive Center or Site
,"<a href=http://lazyfcamp.org/ target=""_blank"">Lazy F Camp & Retreat Center</a>",Lazy F Camp & Retreat Center,,"16170 Manastash Rd,",Phone: 509-962-2780,,Season: Year round (Open),,Recreation Facilities,Camp,Church Camp,Owner: Non-Profit,"Fee: $5-$10 for ice skating and tubing in winter, check website for cost of camps.",Amenities: Meeting Spaces,,,,"Winter Sports: Ice Skating, Sledding","This camp the heart of the Manastash Canyon is an ideal location any time of the year for groups to gather. In the summer, it hosts camps and retreats, In the winter, it offers sledding and ice skating and winter camps.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.961148,-120.774917,Camp
"<img src='http://www.washingtonhometown.com/Thumbnail/1000027.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://ci.ellensburg.wa.us/index.aspx?NID=363 target=""_blank"">Ellensburg Skateboard Park</a>",Ellensburg Skateboard Park,,"2nd Ave and N Pearl, Ellensburg",,,Season: Year round (Open),,Recreation Areas,Park,Skate or Bike Park,Owner: Ellensburg,Free - No fee or pass,Amenities: Bathroom,Features: Fun for Kids,Facilites: Skateboard Ramps,Parking: There is a parking lot lot next to the park as well as on-street parking.,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.993018,-120.547545,Bike or Skate Park
,"<a href=http://www.kvfr.org/ target=""_blank"">Fire District 2, Station #29</a>","Fire District 2, Station #29",,"102 N Pearl St, Ellensburg",Phone: 509-933-7321,,,,Public Safety,Fire Department,Manned Fire Station,"Owner: Unknown; Manager: Fire District",,,,,,,,"Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.992853,-120.546876,Other
,"<a href=http://www.ci.ellensburg.wa.us/index.aspx target=""_blank"">Hal Holmes Center</a>",Hal Holmes Center,,"209 N Ruby St, Ellensburg",Phone: 509-962-7240,Hours: M-F: 8am - 2pm,,Days Open: Mon Tue Wed Thu Fri Sat Sun,Community Spaces,Community Center,Public Community Center,Owner: Ellensburg,,,Features: Accessible Facilities,,,,,"Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.993833,-120.544823,Other
,"<a href=http://ellensburgumc.org/ target=""_blank"">First United Methodist Church</a>",First United Methodist Church,,"210 N Ruby St, Ellensburg",Phone: 509-962-9257,"Hours: M-W: 10am - 2pm, TH: 10am - Noon",,Days Open: Mon Tue Wed Thu Sun,Religion & Spiritual,Place of Worship,Christian Church,"Owner: Unknown; Manager: Non-Profit",,,,,,,,"Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.994089,-120.544084,Other
,"<a href=http://www.ycic.org/#!helen-mccabe-park/c1k58 target=""_blank"">Helen McCabe State Park</a>",Helen McCabe State Park,,Kittitas County,,,Season: Year round (Open),,Recreation Areas,Park,Community Park,"Owner: WA State Parks; Manager: Kittitas Environmental Education Network",Pass: Discover Pass,Amenities: Bathroom,,"Facilites: Boat Launch, Trails",Primitive Launch,"Summer Sports: Boating, Fishing, Hiking","Small lake with hiking trail and fishing. Non motorized boats only. Fish species catfish, trout","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,46.924611,-120.509344,Community Park
,Old German Baptist Brethern,Old German Baptist Brethern,,"6791 Tjossem Rd,",,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.928139,-120.475566,Other
,"<a href=http://ellensburg4square.com/ target=""_blank"">Ellensburg Foursquare Church</a>",Ellensburg Foursquare Church,,"906 E Mountain View Ave, Ellensburg",Phone: 509-925-5000,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.984081,-120.533168,Other
,St. Andrew's Catholic Church,St. Andrew's Catholic Church,,"401 Sth Willow St, Ellensburg",Phone: 509-962-9819,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.989507,-120.529985,Other
,Church of Christ,Church of Christ,,"408 S Maple St, Ellensburg",Phone: 509-925-1822,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.988827,-120.532576,Other
,First Baptist Church,First Baptist Church,,"306 N Sprague St, Ellensburg",Phone: 509-925-3322,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.995402,-120.542804,Other
,Quaker Silent Meeting,Quaker Silent Meeting,,"400 N Anderson, Ellensburg",Phone: 509-933-3117,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.995817,-120.541438,Other
,Community of Christ,Community of Christ,,"306 N Anderson St, Ellensburg",Phone: 509-925-2295,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.995096,-120.541318,Other
,Assembly of God Family Christian Center,Assembly of God Family Christian Center,,"701 E Capital Ave, Ellensburg",Phone: 509-925-3310,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.991796,-120.538386,Other
,Chestnut Street Baptist Church,Chestnut Street Baptist Church,,"509 N Chestnut St, Ellensburg",Phone: 509-925-2424,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.998551,-120.537805,Other
,First Christian Church,First Christian Church,,"600 N Ruby St, Ellensburg",Phone: 509-925-2644,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.997935,-120.544388,Other
,"<a href=http://www.flc-eburg.org/ target=""_blank"">First Lutheran Church</a>",First Lutheran Church,,"512 N Ruby St, Ellensburg",Phone: 509-925-2844,"Hours: M-TH: 8:30 am - Noon, Sun: 8:45am - 12:30pm",,Days Open: Mon Tue Wed Thu Sun,Religion & Spiritual,Place of Worship,Christian Church,"Owner: Unknown; Manager: Non-Profit",,,,,,,A member of the Evangeilical Lutheran Church in America.,"Location contributed by <a href=http://ellensburgdowntown.org/ target=""_blank"">Ellensburg Downtown Association</a>",Open,46.997279,-120.544340,Other
,Seventh Day Adventist Church,Seventh Day Adventist Church,,"415 W 14th Ave, Ellensburg",Phone: 509-962-9723,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.006033,-120.553719,Other
,Mercer Creek Church,Mercer Creek Church,,"1407 N B St, Ellensburg",Phone: 509-933-7800,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.006858,-120.547834,Other
,"<a href=http://www.co.kittitas.wa.us/kvec/ target=""_blank"">Kittitas County Fairground</a>",Kittitas County Fairground,,"901 E 7th Ave, Suite 1, Ellensburg",Phone: 509-962-7639,,,,"Performance, Event & Sports Spaces",Event Venue,Fairgrounds,Owner: Kittitas County,,Amenities: Meeting Spaces,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.997797,-120.533750,Performance or Event Space
"<img src='http://www.manastashmapping.com/Photos/Kittitas/WestEllensburgPark.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=365 target=""_blank"">West Ellensburg Park</a>",West Ellensburg Park,,"900 W 3rd Ave, Ellensburg",,,Season: Year round (Open),,Recreation Areas,Park,Community Park,Owner: Ellensburg,Free - No fee or pass,"Amenities: Bathroom, BBQ Grill, Picnic Shelter, Playground, Potable Water",,"Facilites: Baseball or Softball Field, Basketball Court, Trails",,Summer Sports: Road Biking,Nice playground equipment and large picnic shelter.,"Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.993756,-120.561072,Community Park
,"<a href=http://www.parks.state.wa.us/521/Iron-Horse target=""_blank"">Iron Horse Trailhead Ellensburg</a>",Iron Horse Trailhead Ellensburg,,Iron Horse Trail,,,Season: Year round (Open),,Recreation Access,Trail Access,Trailhead,Owner: WA State Parks,Pass: Discover Pass,,,Facilites: Trails,Parking: There is a parking lot and roadside parking at this location. (No pass is required for roadside park,"Summer Sports: Hiking, Horseback Riding, Mountain Biking","This trailhead provides access to the portion of the trail heading west from Ellensburg. There is a break in the trail to the east, with the trail resuming on the other side of Ellensbur near the fairground.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,47.007067,-120.550480,Trail Access
"<img src='http://www.manastashmapping.com/Photos/Kittitas/McElroyPark.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=356 target=""_blank"">McElroy Park</a>",McElroy Park,,"1704 Brick Road, Ellensburg",,,,,Recreation Areas,Park,Neighborhood Park,Owner: Ellensburg,Free - No fee or pass,Amenities: Playground,,Facilites: Trails,,"Summer Sports: Hiking, Mountain Biking",This small park on the side of a small stream has a large grassy area and a paved trail.,"Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,47.009831,-120.524789,Neighborhood Park
,Whitfield Triangle Park,Whitfield Triangle Park,,Kittitas County,,,,,Recreation Areas,Park,Pocket Park,Owner: Ellensburg,Free - No fee or pass,,,,,,,"Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.996419,-120.531736,Other
"<img src='http://www.ci.ellensburg.wa.us/images/pages/N153//tennis%20court.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=153 target=""_blank"">Ellensburg Racket & Recreation Center</a>",Ellensburg Racket & Recreation Center,,"6061 Vantage Hwy,",Phone: 509-925-8636,"Hours: M, W, Thu 8am-9pm, Tue 6am-9pm, Fri 4pm-9pm, Sat 9am-1:30pm, Sun 4pm-8pm",,,Recreation Facilities,Tennis,Indoor Tennis,Owner: Ellensburg,,,,"Facilites: Gym or Fitness Room, Soccer Field, Tennis Court",,,"Tennis, racketball, & indoor soccer.","Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,47.000694,-120.454614,Other Recreation Facility
,"<a href=http://wdfw.wa.gov/fishing/washington/588/ target=""_blank"">Naneum Pond</a>",Naneum Pond,,Kittitas County,,,Season: Year round (Open),,Recreation Access,Water Access,Fishing Access,Owner: Kittitas County,Free - No fee or pass,,Features: Lake Access,,Elevation: 1669 ft,Summer Sports: Fishing,"A small pond open year round to kids 14 and younger. It is stocked with catchable-sized rainbow trout in early spring and some 1-pound ""jumbo"" rainbow trout. It also has sunfish. Best in early spring  later it becomes very weedy & difficult to fish.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.004067,-120.463796,Fishing
,"<a href=http://www.ci.ellensburg.wa.us/index.aspx?NID=288&PREVIEW=YES target=""_blank"">Youth & Community Center</a>",Youth & Community Center,,"406 E Captial Ave, Ellensburg",Phone: 509-925-8604,"Hours: 3-7 school days, 1-7 early release school days, summer & non-school days M-F  12-5",Season: Year round (Open),,Community Spaces,Community Center,Youth Center,Owner: Ellensburg,Free - No fee or pass,,,,,,"The Stan Basset Youth center is open for For kids from 4th-12th grade. It has a large games room, lounge area, and computer lab.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.991237,-120.542055,Other
,South Entry Park,South Entry Park,,Kittitas County,,,Season: Year round (Open),,Recreation Areas,Park,Pocket Park,Owner: Ellensburg,Free - No fee or pass,Amenities: Picnic Tables,,,,,This small park with tables and trash are provides a spot to stop and rest on the way into town.,"Location contributed by <a href=http://www.ci.ellensburg.wa.us/index.aspx?nid=149 target=""_blank"">Ellensburg</a>",Open,46.984097,-120.547406,Other
,Calvary Baptist Church,Calvary Baptist Church,,"840 Cowboy Ln,",Phone: 509-925-3688,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.000359,-120.508707,Other
,"LDS, Kittitas Valley Branch","LDS, Kittitas Valley Branch",,"1700 Brick Rd, Ellensburg",Phone: 509-925-5191,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.009005,-120.522883,Other
,First Presbytarian Church,First Presbytarian Church,,"1307 E 3rd Ave, Ellensburg",Phone: 509-925-3149,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,46.995308,-120.526258,Other
,Good Hope Evangelical Lutheran Church,Good Hope Evangelical Lutheran Church,,"1402 Brick Rd, Ellensburg",Phone: 509-962-8521,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.006573,-120.525114,Other
,Bethel Gospel Tabernacle,Bethel Gospel Tabernacle,,"1410 N Pfenning Rd, Ellensburg",,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.003023,-120.553967,Other
,Calvary Episcopal Church,Calvary Episcopal Church,,"304 N 2nd St, Roslyn",Phone: 509-649-2283,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.224745,-120.996960,Other
,"<a href=http://www.campkoinonia.org/index.html target=""_blank"">Camp Koinonia</a>",Camp Koinonia,,"850 Koinonia Ln,",Phone: 509-674-5767,,Season: Year round (Open),,Recreation Facilities,Camp,Church Camp,Owner: Oregon Washington District Church of the Brethren,Fee:,"Amenities: Bathroom, Camping Cabin or Yurt, Community Kitchen, Horse Facilities, Meeting Spaces, RV Dump, Utility Hook-up",,Facilites: Swimming Pool,,,"The organization of the camp allows full menu service and provides facilities to hold most any type meeting or function for both youth and adults. The camp has indoor facilities that allow functions to continue rain, shine or snow.","Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.188444,-121.077400,Camp
,Christian & Missionary Alliance Church,Christian & Missionary Alliance Church,,"327 Madison Ave, South Cle Elum",Phone: 509-925-2664,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.184923,-120.947577,Other
,Church of the Nazarene,Church of the Nazarene,,"302 E 3nd St, Cle Elum",Phone: 509-674-2954,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.195122,-120.934477,Other
,"<a href=http://www.cleelumcommunitychurch.org/ target=""_blank"">Cle Elum Community Church</a>",Cle Elum Community Church,,"201 E 3rd St, Cle Elum",Phone: 509-674-2472,,,,Religion & Spiritual,Place of Worship,Christian Church,Owner: Non-Profit,,,,,,,,"Location contributed by <a href=http://washingtonhometown.com/ target=""_blank"">Washington Hometown</a>",Open,47.196669,-120.935504,Other
