Photo,Name,Name_,Links,Location,Contact,Hours,Season,Days_Open,Subtype,Category,Type,Management,Fee,Amenities,Features,Facilities,Details,Sports,Notes,Source,Status,Latitude,Longitude,MapCat
,"<a href=http://www.co.whatcom.wa.us/parks/roeder/ target=""_blank"">Roader Home</a>",Roader Home,,"2600 Sunset Dr, Bellingham",Phone: 360-733-2900,,,,Community Spaces,Event Space,Historic Building,Owner: Whatcom County,,"Amenities: Bathroom, Meeting Spaces, Picnic Tables",Features: Historic Site,,,,"Roeder Home , built in 1909, and listed on the National Register of Historic Places, is one of Whatcom County's most unique structures. This Whatcom County Park can accomodate up to 125 people at a reception, and seat 50-60 in the living room.","Location contributed by <a href=http://www.dahp.wa.gov/ target=""_blank"">WDAHP</a>",Open,48.766060,-122.479242,Other
,"<a href=http://www.whatcomcounty.us/2127/Monument-Park target=""_blank"">Monument Park</a>",Monument Park,,Whatcom County,,Hours: Sunrise to Sunset,,,Recreation Areas,Park,Community Park,Owner: Whatcom County,,Amenities: Picnic Tables,"Features: Beach, No Motorized Use, Ocean Access",Facilites: Trails,,,Located in Point Roberts this monument marking the US / Canada Boundary has great views of the Strait of Georgia and a path through giant trees to a quiet beach.,"Location contributed by <a href=http://www.dahp.wa.gov/ target=""_blank"">WDAHP</a>",Open,49.000000,-123.089010,Community Park
"<img src='http://www.washingtonhometown.com/Thumbnail/102199.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/562/Peace-Arch target=""_blank"">Peace Arch Historical State Park</a>",Peace Arch Historical State Park,,Whatcom County,,,,,Recreation Areas,Park,Community Park,Owner: WA State Parks,Pass: Discover Pass,Amenities: Playground,,,,,"This 20-acre day-use park on the US Canada Border includes a 67-foot Peace Arch monument, set right at the border. The arch was built to commemorate the 100th anniversary of treaties with Great Britain.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,49.002089,-122.756524,Community Park
,"<a href=http://www.portofcoupeville.org/ target=""_blank"">Greenbank Farm</a>",Greenbank Farm,,"765 Wonn Rd,",Phone: 360-222-3151,Hours: Dawn to Dusk,Season: Year round (Open),,Recreation Areas,Park,Regional Park,Owner: Port of Coupeville,Free - No fee or pass,"Amenities: Bathroom, EV Charging Station, Live Music, Store, Wine Tasting","Features: Historic Site, Scenic View",Facilites: Trails,Parking: Parking lot,,"This community gathering place is a venue for festivals, fundraising events and performances, home to art galleries and food shops, and it has trails through open fields, forest and wetlands with breathtaking views of the Cascades and Olympics.","Location contributed by <a href=http://www.dahp.wa.gov/ target=""_blank"">WDAHP</a>",Open,48.108482,-122.576407,Regional Park
,"<a href=http://www.lyndenwa.org/departments/parks/berthusen-park/ target=""_blank"">Berthusen Park</a>",Berthusen Park,,"8837 Berthusen Rd.,",,Hours: 8am to Dusk,Season: Year round (Open),,Recreation Areas,Park,Community Park,Owner: Lynden,Free - No fee or pass,"Amenities: Community Kitchen, Picnic Shelter, Playground",Features: Historic Site,"Facilites: Multi-Use Ball Field, Trails",,Summer Sports: Hiking,"This historic homestead, settled in 1883, is now a park with picnic areas, group shelters, playgrounds, old growth forest for hiking and education purposes and facilities used by numerous clubs.","Location contributed by <a href=http://www.dahp.wa.gov/ target=""_blank"">WDAHP</a>",Open,48.961985,-122.508319,Community Park
,"<a href=http://www.cob.org/services/recreation/parks-trails/Pages/woodstock-farm.aspx target=""_blank"">Woodstock Farm</a>",Woodstock Farm,,Whatcom County,,Hours: 6 am to 10 pm,Season: Year round (Open),,Recreation Areas,Park,Natural Area,Owner: Bellingham,Free - No fee or pass,,"Features: Beach, Historic Site, Ocean Access, Scenic View",Facilites: Trails,,"Summer Sports: Fishing, Hiking",Woodstock farm was purchased for public enjoyment of a wild and continuous marine shoreline. The site also includes cultural features from prehistoric time and the early 1900s. Access is by  foot or bicycle.,"Location contributed by <a href=http://www.dahp.wa.gov/ target=""_blank"">WDAHP</a>",Open,48.697856,-122.497626,Recreation Area
"<img src='http://www.washingtonhometown.com/Thumbnail/102904.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/511/Fort-Worden target=""_blank"">Fort Worden Historical State Park</a>",Fort Worden Historical State Park,,Jefferson County,,,,,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Campground, Day-Use Area, Meeting Spaces, RV Dump, Utility Hook-up, Vacation House","Features: Historic Site, Interpretive Signs, Ocean Access","Facilites: Boat Launch, Dock, Mooring Buoy, Multi-Use Ball Field, Trails","Paved Launch; Standard Campground; 80 campsites","Summer Sports: Hiking, Road Biking",This 434-acre multi-use park and conference center has over two miles of saltwater shoreline and a wide variety of services and facilities. It sits on a high bluff overlooking Puget Sound and has historic buildings from the 19th century fort.,"Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.134449,-122.765254,Regional Camping Park
,"<a href=http://www.nps.gov/olym/planyourvisit/upload/2016-open-close-dates.pdf target=""_blank"">Elwha Ranger Station</a>",Elwha Ranger Station,,Olympic National Park,,"Hours: Hours vary; consult area bulletin boards.",Season: Summer,,Recreation Services,Information,Ranger or Park Office,Owner: NPS,Pass: National Park Pass,,,,,,,"Location contributed by <a href=http://www.nps.gov/olym/ target=""_blank"">Olympic National Park</a>",Open,48.016581,-123.590074,Information
"<img src='http://www.washingtonhometown.com/Thumbnail/103028.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/546/Millersylvania target=""_blank"">Millersylvania State Park</a>",Millersylvania State Park,,Thurston County,,,,,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Ampitheater, Campground, Community Kitchen, Day-Use Area, Group Camp Site, Picnic Shelter, Picnic Tables, Serves Food, Vacation House","Features: Accessible Facilities, Beach, Bird Watching, Lake Access, Wildlife Viewing","Facilites: Boat Launch, Dock, Horseshoes, Trails","Primitive Launch; Standard Campground; 168 campsites; Equipment Rental: Boats, Kayaks","Summer Sports: Hiking, Mountain Biking, Road Biking","This  842-acre camping park on Deep Lake  is popular for boaters, swimmers, fishermen, and hikers. The park, which sites among old growth cedar and fir. It was constructed almost entirely by hand in 1935 by the Civilian Conservation Corps.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,46.915705,-122.912647,Regional Camping Park
"<img src='http://www.washingtonhometown.com/Thumbnail/103034.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/580/Schafer target=""_blank"">Schafer State Park</a>",Schafer State Park,,Mason County,,,,,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Ampitheater, Bathroom, Campground, Day-Use Area, Group Camp Site, Picnic Shelter, RV Dump, Shower, Utility Hook-up","Features: Bird Watching, Interpretive Signs, River Access, Wildlife Viewing","Facilites: Horseshoes, Trails, Volleyball Court","Standard Campground; 55 campsites; 2 miles of trails","Summer Sports: Fishing, Hiking, Swimming","This 119-acre camping park on the Satsop River  is a national historic site. It is popular wtih fishermen because of abundant steelhead, cutthroat trout, and salmon. Non-fishermen can enjoy wading and swimming in the shallow water.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,47.097827,-123.466080,Regional Camping Park
"<img src='http://www.washingtonhometown.com/Thumbnail/103040.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/508/Fort-Flagler target=""_blank"">Fort Flagler Historical State Park</a>",Fort Flagler Historical State Park,,Jefferson County,,,,,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Campground, Day-Use Area, Group Camp Site, Picnic Shelter, Picnic Tables, RV Dump, Serves Food, Shower, Utility Hook-up, Vacation House","Features: Accessible Facilities, Historic Site, Ocean Access","Facilites: Boat Launch, Dock, Trails","Paved Launch; Standard Campground; 117 campsites","Summer Sports: Beachcombing, Boating, Fishing, Shellfish Gathering, Swimming, Water Skiing","This 784-acre marine camping park surrounded on three sides by 19,100-feet of saltwater shoreline. It sits on a high bluff overlooking Puget Sound, with spectacular views. Many historic buildings remain at the 19th century military fort.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.096592,-122.695701,Regional Camping Park
"<img src='http://www.washingtonhometown.com/Thumbnail/103050.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://www.parks.state.wa.us/547/Moran target=""_blank"">Moran State Park</a>",Moran State Park,,San Juan County,,,,,Recreation Areas,Park,Regional Park,Owner: WA State Parks,Pass: Discover Pass,"Amenities: Bathroom, Campground, Community Kitchen, Day-Use Area, Group Camp Site, Picnic Shelter, RV Dump, Shower, Vacation House","Features: Accessible Facilities, Beach, Bird Watching, Lake Access, Wildlife Viewing","Facilites: Boat Launch, Trails","Paved Launch; Standard Campground; 151 campsites; 55 miles of trails; Equipment Rental: Boats","Summer Sports: Boating, Fishing, Hiking, Horseback Riding, Mountain Biking, Road Biking, Swimming","This 5,579-acre camping park has five freshwater lakes & over 30 miles of hiking trails including one leading up 2,409-foot Mt. Constitution, where a stone observation tower built by the Civilian Conservation Corps in 1936 provides incredible views.","Location contributed by <a href=http://www.parks.wa.gov/ target=""_blank"">WA State Parks</a>",Open,48.663454,-122.826715,Regional Camping Park
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30302.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30302 target=""_blank"">Mineral Lake</a>",Mineral Lake,,Lewis County,,,Season: See regulations,,Recreation Access,Water Access,Boat Launch,Owner: WDFW,Pass: Discover or WDFW Pass,Amenities: Bathroom,"Features: Lake Access, Motorized Boats Allowed",Facilites: Boat Launch,Paved Launch,"Summer Sports: Boating, Fishing, Swimming",Water Access: Mineral Lake. This site is also identified as a swimming area.,"Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,46.720320,-122.182054,Boating
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30303.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30303 target=""_blank"">Plummer Lake</a> - <a href=http://wdfw.wa.gov/lands/water_access/30303 target=""_blank"">WDFW Page</a>",Plummer Lake,,Lewis County,,,Season: See regulations,,Recreation Access,Water Access,Boat Launch,Owner: Centralia,Free - No fee or pass,Amenities: Bathroom,Features: No Motorized Boats,Facilites: Boat Launch,Primitive Launch,"Summer Sports: Boating, Fishing","This boat launch developed with assistance of WDFW includes a small parking area and restroom, and terrace access to the north end of Plummer Lake.","Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,46.717965,-122.975124,Boating
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30230.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30230 target=""_blank"">Deer Lake</a>",Deer Lake,,Island County,,,Season: See regulations,,Recreation Access,Water Access,Boat Launch,"Owner: Sth Whidbey Parks & Recreation; Manager: South Whidbey Parks & Recreation District",Pass: Discover or WDFW Pass,Amenities: Bathroom,Features: Lake Access,Facilites: Boat Launch,Paved Launch,"Summer Sports: Boating, Fishing","Open: Last Sat in April thru Oct 31st; Operated and Maintained by South Whidbey Parks and Recreation; Water Access: Deer Lake; Motorized boats allowed.","Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,47.973991,-122.380382,Boating
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30266.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30266 target=""_blank"">Richter #2/Neal Road</a>",Richter #2/Neal Road,,King County,,,,,Recreation Areas,Park,Regional Park,Owner: WDFW,Pass: Discover or WDFW Pass,,Features: River Access,Facilites: Boat Launch,,"Summer Sports: Boating, Fishing","Season varies; Concrete Boat Ramp; Water Access: Snoqualmie River; Motorized boats allowed.","Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,47.596081,-121.913860,Regional Park
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30270.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30270 target=""_blank"">Steel Lake</a>",Steel Lake,,King County,,,Season: See regulations,,Recreation Access,Water Access,Boat Launch,Owner: WDFW,Pass: Discover or WDFW Pass,Amenities: Playground,"Features: Beach, Lake Access","Facilites: Boat Launch, Swimming Area",Paved Launch,"Summer Sports: Boating, Fishing, Swimming",Check regulations for season. Access is next to park.,"Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,47.322419,-122.300143,Boating
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30490.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30490 target=""_blank"">Armstrong Lake</a>",Armstrong Lake,,Snohomish County,,,Season: See regulations,,Recreation Access,Water Access,Boat Launch,Owner: WDFW,Pass: Discover or WDFW Pass,,Features: Lake Access,Facilites: Boat Launch,Paved Launch,"Summer Sports: Boating, Fishing","Open last Sat in April thru Oct 31st; Motor restrictions scc 12.08.030, 8mph; Water Access: Armstrong Lake.","Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,48.223673,-122.122914,Boating
"<img src='http://wdfw.wa.gov/lands/water_access/graphics/facility_image/30523.jpg'/ alt=""No Photo""height=""150""width=""150"">","<a href=http://wdfw.wa.gov/lands/water_access/30523 target=""_blank"">Lake Stevens City Boat Launch</a> - <a href=http://www.ci.lake-stevens.wa.us/DocumentCenter/Home/View/623 target=""_blank"">City Link</a>",Lake Stevens City Boat Launch,,Snohomish County,,Hours: 5 am to dusk,Season: Year round (Open),,Recreation Access,Water Access,Boat Launch,"Owner: WDFW; Manager: Lake Stevens",Pass: Discover or WDFW Pass,,"Features: Lake Access, Motorized Boats Allowed","Facilites: Boat Launch, Dock","Paved Launch; Parking: Parking lot","Summer Sports: Boating, Fishing",This 1 acre facility is on the eastern shore of North Cove.,"Location contributed by <a href=http://wdfw.wa.gov/fishing/ target=""_blank"">WDFW Fish Program</a>",Open,48.013242,-122.066145,Boating
